base_model,technique,total,blank,pct_blank
Qwen-Qwen2.5-3B-Instruct,CoT,45,0,0.0
Qwen-Qwen3.5-4B,CoT,45,6,13.3
claude-sonnet-4-6,CoT,45,0,0.0
codestral-2508,CoT,45,0,0.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,CoT,45,45,100.0
deepseek-chat,CoT,45,0,0.0
gemini-2.5-flash,CoT,45,0,0.0
google-gemma-3-4b-it,CoT,45,1,2.2
gpt-3.5-turbo,CoT,45,0,0.0
gpt-4o-mini,CoT,45,0,0.0
gpt-5-mini,CoT,45,0,0.0
gpt-5-nano,CoT,45,0,0.0
gpt-5.2,CoT,45,0,0.0
meta-llama-Llama-3.2-3B-Instruct,CoT,45,1,2.2
microsoft-Phi-4-mini-instruct,CoT,45,7,15.6
microsoft-phi-4,CoT,45,0,0.0
mistral-large-2411,CoT,45,0,0.0
mistral-small-2506,CoT,45,0,0.0
mistralai-Mistral-7B-Instruct-v0.3,CoT,45,20,44.4
o3-mini,CoT,45,0,0.0
tiiuae-Falcon-H1-7B-Base,CoT,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,CoT,45,18,40.0
Qwen-Qwen2.5-3B-Instruct,CoT-multi,45,0,0.0
Qwen-Qwen3.5-4B,CoT-multi,45,13,28.9
claude-sonnet-4-6,CoT-multi,45,0,0.0
codestral-2508,CoT-multi,45,0,0.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,CoT-multi,45,45,100.0
deepseek-chat,CoT-multi,45,0,0.0
gemini-2.5-flash,CoT-multi,45,0,0.0
google-gemma-3-4b-it,CoT-multi,45,0,0.0
gpt-3.5-turbo,CoT-multi,45,0,0.0
gpt-4o-mini,CoT-multi,45,0,0.0
gpt-5-mini,CoT-multi,45,0,0.0
gpt-5-nano,CoT-multi,45,0,0.0
gpt-5.2,CoT-multi,45,0,0.0
meta-llama-Llama-3.2-3B-Instruct,CoT-multi,45,7,15.6
microsoft-Phi-4-mini-instruct,CoT-multi,45,25,55.6
microsoft-phi-4,CoT-multi,45,0,0.0
mistral-large-2411,CoT-multi,45,0,0.0
mistral-small-2506,CoT-multi,45,0,0.0
mistralai-Mistral-7B-Instruct-v0.3,CoT-multi,45,42,93.3
o3-mini,CoT-multi,45,0,0.0
tiiuae-Falcon-H1-7B-Base,CoT-multi,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,CoT-multi,45,43,95.6
Qwen-Qwen2.5-3B-Instruct,one-shot,45,0,0.0
Qwen-Qwen3.5-4B,one-shot,44,2,4.5
claude-sonnet-4-6,one-shot,45,0,0.0
codestral-2508,one-shot,44,0,0.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,one-shot,45,3,6.7
deepseek-chat,one-shot,45,0,0.0
gemini-2.5-flash,one-shot,45,0,0.0
google-gemma-3-4b-it,one-shot,45,0,0.0
gpt-3.5-turbo,one-shot,45,0,0.0
gpt-4o-mini,one-shot,45,0,0.0
gpt-5-mini,one-shot,45,0,0.0
gpt-5-nano,one-shot,45,0,0.0
gpt-5.2,one-shot,45,0,0.0
meta-llama-Llama-3.2-3B-Instruct,one-shot,45,0,0.0
microsoft-Phi-4-mini-instruct,one-shot,45,0,0.0
microsoft-phi-4,one-shot,44,0,0.0
mistral-large-2411,one-shot,45,0,0.0
mistral-small-2506,one-shot,44,0,0.0
mistralai-Mistral-7B-Instruct-v0.3,one-shot,45,0,0.0
o3-mini,one-shot,45,0,0.0
tiiuae-Falcon-H1-7B-Base,one-shot,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,one-shot,44,0,0.0
Qwen-Qwen2.5-3B-Instruct,two-shots,45,0,0.0
Qwen-Qwen3.5-4B,two-shots,44,2,4.5
claude-sonnet-4-6,two-shots,45,0,0.0
codestral-2508,two-shots,44,0,0.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,two-shots,45,1,2.2
deepseek-chat,two-shots,45,0,0.0
gemini-2.5-flash,two-shots,45,0,0.0
google-gemma-3-4b-it,two-shots,45,0,0.0
gpt-3.5-turbo,two-shots,45,0,0.0
gpt-4o-mini,two-shots,45,0,0.0
gpt-5-mini,two-shots,45,0,0.0
gpt-5-nano,two-shots,45,0,0.0
gpt-5.2,two-shots,45,0,0.0
meta-llama-Llama-3.2-3B-Instruct,two-shots,45,0,0.0
microsoft-Phi-4-mini-instruct,two-shots,45,0,0.0
microsoft-phi-4,two-shots,44,0,0.0
mistral-large-2411,two-shots,45,0,0.0
mistral-small-2506,two-shots,44,0,0.0
mistralai-Mistral-7B-Instruct-v0.3,two-shots,45,0,0.0
o3-mini,two-shots,45,0,0.0
tiiuae-Falcon-H1-7B-Base,two-shots,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,two-shots,44,0,0.0
Qwen-Qwen2.5-3B-Instruct,zero-shot,45,0,0.0
Qwen-Qwen3.5-4B,zero-shot,45,0,0.0
claude-sonnet-4-6,zero-shot,45,0,0.0
codestral-2508,zero-shot,45,0,0.0
deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,zero-shot,45,3,6.7
deepseek-chat,zero-shot,45,0,0.0
gemini-2.5-flash,zero-shot,45,0,0.0
google-gemma-3-4b-it,zero-shot,45,0,0.0
gpt-3.5-turbo,zero-shot,45,0,0.0
gpt-4o-mini,zero-shot,45,0,0.0
gpt-5-mini,zero-shot,45,0,0.0
gpt-5-nano,zero-shot,45,0,0.0
gpt-5.2,zero-shot,45,0,0.0
meta-llama-Llama-3.2-3B-Instruct,zero-shot,45,0,0.0
microsoft-Phi-4-mini-instruct,zero-shot,45,0,0.0
microsoft-phi-4,zero-shot,45,0,0.0
mistral-large-2411,zero-shot,45,0,0.0
mistral-small-2506,zero-shot,45,0,0.0
mistralai-Mistral-7B-Instruct-v0.3,zero-shot,45,0,0.0
o3-mini,zero-shot,45,0,0.0
tiiuae-Falcon-H1-7B-Base,zero-shot,45,45,100.0
tiiuae-Falcon-H1-7B-Instruct,zero-shot,45,0,0.0
